timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478477571.16,0.070001,0.495216,-0.067459,-0.080363,0.011012,-0.024293,0.061541,-0.475222,-0.877711,0.001905,0.004855,0.022273,-12.311096,-40.424171,-10.040186,,,,,,
1478477571.17,0.069976,0.494365,-0.067670,-0.077544,-0.021140,-0.022483,0.061548,-0.474473,-0.878116,0.000052,0.006990,0.010592,-12.297911,-40.419182,-10.076354,,,,,,
1478477571.18,0.069543,0.493557,-0.067789,-0.079768,-0.053383,-0.013385,0.061194,-0.473761,-0.878525,-0.005988,0.003317,0.002853,-12.297911,-40.419182,-10.076354,,,,,,
1478477571.19,0.068870,0.492429,-0.067870,-0.085900,-0.074454,-0.011892,0.060639,-0.472767,-0.879098,0.002776,0.003987,-0.007681,-12.287739,-40.407639,-10.134897,,,,,,
1478477571.20,0.068220,0.491473,-0.067918,-0.092369,-0.057198,-0.009824,0.060099,-0.471925,-0.879588,0.003103,0.004045,-0.009130,-12.287739,-40.407639,-10.134897,,,,,,
1478477571.21,0.067799,0.490539,-0.067901,-0.083719,-0.034946,-0.002716,0.059758,-0.471101,-0.880053,-0.003102,0.008089,-0.008650,-12.291423,-40.389740,-10.201562,,,,,,
1478477571.22,0.067497,0.489986,-0.067952,-0.038324,-0.027184,-0.010777,0.059510,-0.470614,-0.880330,-0.003724,0.009127,-0.010630,-12.291423,-40.389740,-10.201562,,,,,,
1478477571.23,0.067364,0.489099,-0.067913,-0.053804,0.008454,0.004344,0.059421,-0.469831,-0.880754,-0.002979,0.010435,-0.016478,-12.293716,-40.376190,-10.252295,,,,,,
1478477571.24,0.068574,0.488117,-0.067786,-0.093050,0.156706,-0.006084,0.060518,-0.468963,-0.881142,-0.010057,0.010284,-0.015343,-12.293716,-40.376190,-10.252295,,,,,,
1478477571.25,0.070536,0.487914,-0.067988,0.012855,0.177245,-0.019619,0.062254,-0.468784,-0.881116,-0.015821,0.024158,-0.001421,-12.282594,-40.356647,-10.342175,,,,,,
1478477571.26,0.071958,0.488764,-0.068340,0.096898,0.102335,-0.022047,0.063478,-0.469535,-0.880629,-0.037996,0.022636,0.007124,-12.282594,-40.356647,-10.342175,,,,,,
1478477571.27,0.072971,0.489764,-0.068609,0.090751,0.084911,-0.013257,0.064336,-0.470417,-0.880096,-0.033269,-0.000454,-0.005585,-12.232393,-40.369118,-10.353005,,,,,,
1478477571.28,0.074185,0.490231,-0.068731,0.028552,0.119123,-0.008600,0.065387,-0.470829,-0.879798,-0.016315,0.004460,-0.010400,-12.232393,-40.369118,-10.353005,,,,,,
1478477571.29,0.075894,0.489864,-0.068800,-0.054051,0.174262,-0.007044,0.066904,-0.470506,-0.879857,-0.009409,0.007478,0.012593,-12.201713,-40.387390,-10.317894,,,,,,
