timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478537195.06,-0.017232,0.343291,1.090890,-0.035635,-0.349347,0.042313,-0.016225,-0.336588,-0.941512,0.001623,-0.036322,-0.040894,4.901364,-0.164050,-19.834810,,,,,,
1478537195.07,-0.020723,0.343455,1.091082,0.032271,-0.320198,0.007234,-0.019511,-0.336742,-0.941395,0.003321,-0.013524,-0.039715,4.743201,-0.139845,-19.873409,,,,,,
1478537195.08,-0.023873,0.343948,1.090935,0.045940,-0.298862,-0.019911,-0.022473,-0.337207,-0.941162,0.006848,-0.005277,-0.042205,4.743201,-0.139845,-19.873409,,,,,,
1478537195.09,-0.026658,0.344171,1.090586,0.008999,-0.266798,-0.035703,-0.025091,-0.337417,-0.941021,-0.004099,-0.005173,-0.024922,4.611396,-0.153067,-19.904308,,,,,,
1478537195.10,-0.029327,0.344037,1.090134,-0.040837,-0.206314,-0.058291,-0.027605,-0.337290,-0.940996,-0.006102,-0.002829,0.000475,4.553672,-0.155822,-19.917574,,,,,,
1478537195.11,-0.030421,0.343486,1.089448,-0.055677,-0.101302,-0.056599,-0.028639,-0.336771,-0.941151,-0.005937,-0.011541,-0.000790,4.553672,-0.155822,-19.917574,,,,,,
1478537195.12,-0.030644,0.343024,1.088860,-0.042475,-0.023386,-0.047912,-0.028854,-0.336337,-0.941300,-0.000916,-0.021787,-0.015686,4.471196,-0.136811,-19.936388,,,,,,
1478537195.13,-0.030664,0.342634,1.088496,-0.041196,-0.022318,-0.027062,-0.028877,-0.335969,-0.941430,-0.002159,-0.026076,-0.026923,4.471196,-0.136811,-19.936388,,,,,,
1478537195.15,-0.030811,0.341944,1.088208,-0.075441,-0.006473,-0.024145,-0.029022,-0.335319,-0.941658,0.026932,-0.033013,-0.026940,4.460057,-0.115402,-19.939020,,,,,,
1478537195.16,-0.030341,0.340785,1.087840,-0.121303,0.035371,-0.032872,-0.028592,-0.334227,-0.942059,0.027021,-0.025606,-0.041248,4.460057,-0.115402,-19.939020,,,,,,
1478537195.17,-0.028562,0.338883,1.086532,-0.124295,-0.058330,-0.066905,-0.026934,-0.332433,-0.942742,0.030642,-0.014536,-0.070167,4.462168,-0.075672,-19.938738,,,,,,
1478537195.18,-0.029247,0.337729,1.085636,-0.106272,-0.097678,-0.080698,-0.027591,-0.331345,-0.943106,0.043689,0.003846,-0.065820,4.462168,-0.075672,-19.938738,,,,,,
1478537195.19,-0.029908,0.337054,1.084544,-0.051984,-0.097181,-0.100773,-0.028221,-0.330708,-0.943311,0.042854,0.008915,-0.061495,4.469453,-0.004669,-19.937248,,,,,,
1478537195.20,-0.030358,0.337047,1.083242,0.008394,-0.071901,-0.122404,-0.028646,-0.330702,-0.943300,0.031774,0.007078,-0.054808,4.469453,-0.004669,-19.937248,,,,,,
1478537195.21,-0.028954,0.336665,1.081564,0.049271,0.017359,-0.118418,-0.027325,-0.330341,-0.943466,0.016247,0.001652,-0.044922,4.431466,0.020224,-19.945715,,,,,,
1478537195.22,-0.027960,0.337319,1.080578,0.061426,0.075240,-0.081200,-0.026381,-0.330958,-0.943277,0.000609,0.002497,-0.025962,4.431466,0.020224,-19.945715,,,,,,
1478537195.23,-0.026731,0.337988,1.079860,0.062549,0.093622,-0.060644,-0.025216,-0.331590,-0.943087,-0.016014,-0.003234,-0.013777,4.461658,0.027488,-19.938976,,,,,,
1478537195.24,-0.025876,0.338539,1.079707,0.047672,0.070751,0.000850,-0.024405,-0.332109,-0.942925,0.012244,-0.013823,-0.017478,4.481401,0.017624,-19.934559,,,,,,
1478537195.25,-0.023966,0.339585,1.079651,0.025246,0.044211,0.053708,-0.022595,-0.333096,-0.942622,0.026822,-0.022067,-0.023961,4.481401,0.017624,-19.934559,,,,,,
1478537195.26,-0.024021,0.339662,1.080500,0.007877,0.012959,0.080967,-0.022646,-0.333168,-0.942595,0.024950,-0.021156,-0.028993,4.535122,-0.013026,-19.922409,,,,,,
1478537195.27,-0.024410,0.339717,1.081489,0.010614,-0.009350,0.088742,-0.023013,-0.333220,-0.942568,0.022158,-0.011247,-0.030882,4.535122,-0.013026,-19.922409,,,,,,
1478537195.28,-0.025022,0.340149,1.082356,0.057615,-0.041064,0.070332,-0.023586,-0.333628,-0.942410,0.019054,-0.017004,-0.046741,4.538442,-0.024328,-19.921642,,,,,,
