timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478536497.64,0.013258,0.434164,2.729235,-0.303666,-0.289746,0.125242,0.012028,-0.420652,-0.907142,0.029080,-0.045550,0.014946,-20.505154,-19.811121,-30.733505,,,,,,
1478536497.65,0.009685,0.431401,2.731141,-0.249613,-0.253964,0.173250,0.008798,-0.418144,-0.908338,0.032309,-0.048058,0.016142,-20.505154,-19.811121,-30.733505,,,,,,
1478536497.66,0.006217,0.429310,2.733417,-0.185306,-0.237713,0.198433,0.005653,-0.416244,-0.909236,0.015633,-0.034776,0.018427,-20.682495,-19.606924,-30.745621,,,,,,
1478536497.67,0.003007,0.427881,2.735623,-0.122437,-0.207533,0.184114,0.002736,-0.414943,-0.909843,0.013622,-0.003636,0.013115,-20.682495,-19.606924,-30.745621,,,,,,
1478536497.68,0.000425,0.426559,2.737528,-0.085164,-0.142749,0.154124,0.000386,-0.413740,-0.910395,-0.002157,0.016752,0.011362,-20.915779,-19.394293,-30.722662,,,,,,
1478536497.69,-0.001141,0.425578,2.739104,-0.095981,-0.067168,0.129389,-0.001039,-0.412847,-0.910800,-0.016112,0.019308,0.015124,-20.915779,-19.394293,-30.722662,,,,,,
1478536497.70,-0.001675,0.424229,2.740371,-0.143521,0.018101,0.102734,-0.001526,-0.411618,-0.911355,-0.021683,0.021039,0.019525,-21.088312,-19.246662,-30.697546,,,,,,
1478536497.71,-0.001653,0.422158,2.741362,-0.214528,0.045059,0.081631,-0.001507,-0.409730,-0.912206,-0.027606,0.026277,0.026067,-21.088312,-19.246662,-30.697546,,,,,,
1478536497.72,-0.002975,0.419337,2.742498,-0.275973,-0.010612,0.039986,-0.002717,-0.407155,-0.913355,-0.034225,0.018254,0.050226,-21.137987,-19.111986,-30.747482,,,,,,
1478536497.74,-0.002906,0.416130,2.742285,-0.310274,0.002105,-0.025726,-0.002658,-0.404223,-0.914656,-0.038327,0.029254,0.031447,-21.137987,-19.111986,-30.747482,,,,,,
1478536497.75,-0.003938,0.413165,2.742019,-0.271019,-0.148537,-0.025069,-0.003607,-0.401510,-0.915848,0.009299,-0.011012,0.010528,-21.185087,-18.911797,-30.838718,,,,,,
1478536497.76,-0.006054,0.410980,2.741756,-0.179322,-0.230874,-0.021129,-0.005550,-0.399508,-0.916713,-0.000813,-0.008466,-0.007619,-21.185087,-18.911797,-30.838718,,,,,,
1478536497.77,-0.008658,0.410278,2.741622,-0.047474,-0.280951,-0.001210,-0.007940,-0.398864,-0.916976,0.006688,-0.013444,-0.014512,-21.241901,-18.741802,-30.903347,,,,,,
1478536497.78,-0.012079,0.410551,2.741807,0.048998,-0.330022,0.020634,-0.011075,-0.399115,-0.916834,0.010159,-0.017466,-0.030477,-21.311710,-18.703400,-30.878540,,,,,,
1478536497.79,-0.015857,0.411681,2.742116,0.122367,-0.340762,0.026780,-0.014531,-0.400151,-0.916334,0.021840,-0.003307,-0.022219,-21.311710,-18.703400,-30.878540,,,,,,
1478536497.80,-0.018566,0.413110,2.742630,0.135009,-0.198669,0.050319,-0.017003,-0.401459,-0.915719,-0.010615,0.013886,-0.001319,-21.523075,-18.713114,-30.725674,,,,,,
1478536497.81,-0.021021,0.414261,2.743881,0.082578,-0.121465,0.096092,-0.019242,-0.402514,-0.915212,-0.015396,0.010180,0.026296,-21.523075,-18.713114,-30.725674,,,,,,
1478536497.82,-0.021112,0.413716,2.745410,-0.093761,0.109520,0.148517,-0.019329,-0.402015,-0.915429,-0.042301,0.010123,0.030374,-21.717512,-18.773420,-30.551575,,,,,,
1478536497.83,-0.020052,0.412009,2.747404,-0.172799,0.194084,0.182742,-0.018373,-0.400451,-0.916134,-0.047133,-0.025330,0.048336,-21.717512,-18.773420,-30.551575,,,,,,
