timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478478744.67,-0.005338,0.457299,-2.964897,-0.099352,-0.643632,0.041244,-0.004790,-0.441526,-0.897236,-0.008180,-0.024828,0.020282,0.389320,-51.303284,-33.755135,,,,,,
1478478744.68,-0.012247,0.456141,-2.964150,-0.109658,-0.616774,0.074982,-0.010995,-0.440487,-0.897692,-0.010734,-0.045445,-0.003111,-0.068162,-51.286858,-33.782265,,,,,,
1478478744.69,-0.018539,0.455429,-2.963266,-0.042166,-0.537207,0.073387,-0.016648,-0.439847,-0.897918,-0.009154,-0.055865,0.009140,-0.068162,-51.286858,-33.782265,,,,,,
1478478744.70,-0.023721,0.455970,-2.962650,0.083259,-0.442218,0.044159,-0.021296,-0.440333,-0.897582,-0.009542,-0.040410,0.042937,-0.566578,-51.223709,-33.873260,,,,,,
1478478744.71,-0.027762,0.457244,-2.961642,0.123796,-0.305303,0.114794,-0.024907,-0.441477,-0.896927,-0.016642,-0.031332,0.047790,-0.760614,-51.242058,-33.841702,,,,,,
1478478744.72,-0.030618,0.458051,-2.959867,0.070744,-0.162362,0.137370,-0.027457,-0.442201,-0.896496,-0.054956,-0.021864,0.030346,-0.760614,-51.242058,-33.841702,,,,,,
1478478744.73,-0.031447,0.459224,-2.958795,0.131028,0.007940,0.076496,-0.028184,-0.443253,-0.895954,-0.054229,-0.020813,0.029804,-1.077217,-51.312408,-33.726311,,,,,,
1478478744.74,-0.041994,0.462028,-2.953660,0.162093,0.053383,-0.010898,-0.037580,-0.445764,-0.894361,-0.047168,0.029901,0.075636,-1.077217,-51.312408,-33.726311,,,,,,
1478478744.75,-0.041426,0.463668,-2.954521,0.151157,-0.006528,-0.099575,-0.037042,-0.447232,-0.893651,-0.108268,0.006940,0.082097,-1.645132,-51.445404,-33.500023,,,,,,
1478478744.76,-0.042632,0.465509,-2.956805,0.178911,-0.301947,-0.242589,-0.038084,-0.448877,-0.892781,-0.064867,0.023676,0.026036,-1.645132,-51.445404,-33.500023,,,,,,
1478478744.77,-0.046834,0.468154,-2.960675,0.262610,-0.634349,-0.359641,-0.041780,-0.451240,-0.891424,-0.034285,0.026511,0.007101,-1.561164,-51.562363,-33.323765,,,,,,
1478478744.78,-0.054180,0.471900,-2.964850,0.350291,-0.974960,-0.380834,-0.048234,-0.454579,-0.889399,-0.013518,0.036214,-0.000371,-1.561164,-51.562363,-33.323765,,,,,,
1478478744.79,-0.064821,0.476052,-2.969421,0.379490,-1.276212,-0.418253,-0.057573,-0.458274,-0.886945,-0.038130,0.144309,-0.058505,-1.678102,-51.774620,-32.987270,,,,,,
1478478744.80,-0.077302,0.480165,-2.974304,0.345485,-1.430789,-0.443117,-0.068492,-0.461925,-0.884270,-0.027760,0.094280,-0.028175,-1.678102,-51.774620,-32.987270,,,,,,
1478478744.81,-0.090208,0.483359,-2.979244,0.240721,-1.438891,-0.437133,-0.079765,-0.464756,-0.881839,-0.037361,0.063450,-0.066434,-2.114138,-52.043686,-32.535721,,,,,,
1478478744.82,-0.102034,0.484814,-2.984121,0.037272,-1.288148,-0.420539,-0.090119,-0.466044,-0.880160,-0.058960,0.035670,-0.073621,-2.114138,-52.043686,-32.535721,,,,,,
1478478744.83,-0.110711,0.483711,-2.989068,-0.195605,-0.954631,-0.395190,-0.097809,-0.465067,-0.879856,-0.047043,0.035929,-0.037640,-2.589962,-52.189865,-32.266045,,,,,,
