timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478536461.20,-0.191648,0.536815,-0.271073,-0.245544,-0.168366,0.031110,-0.163685,-0.511401,-0.843609,0.007893,-0.031232,0.078488,14.600851,-23.809122,-33.685081,,,,,,
1478536461.21,-0.192121,0.534348,-0.271697,-0.230397,-0.035436,-0.029785,-0.164324,-0.509280,-0.844767,-0.021680,-0.029279,0.082804,14.418253,-23.690289,-33.847130,,,,,,
1478536461.22,-0.190278,0.532725,-0.273236,-0.154869,0.122754,-0.109858,-0.162923,-0.507883,-0.845879,-0.016948,-0.016531,0.071877,14.418253,-23.690289,-33.847130,,,,,,
1478536461.23,-0.188449,0.532105,-0.275039,-0.059660,0.066692,-0.139425,-0.161435,-0.507349,-0.846485,-0.019031,-0.004462,0.063495,14.452145,-23.527035,-33.946400,,,,,,
1478536461.24,-0.187914,0.532423,-0.276450,0.029862,-0.050539,-0.105493,-0.160952,-0.507622,-0.846413,-0.032423,-0.030265,0.045738,14.452145,-23.527035,-33.946400,,,,,,
1478536461.25,-0.189077,0.533230,-0.276698,0.083839,-0.140053,-0.011218,-0.161859,-0.508318,-0.845822,-0.029731,-0.001753,0.017453,14.539549,-23.460697,-33.954990,,,,,,
1478536461.26,-0.191034,0.534120,-0.276387,0.086745,-0.179760,0.006664,-0.163428,-0.509084,-0.845059,0.002081,0.037084,0.013928,14.539549,-23.460697,-33.954990,,,,,,
1478536461.27,-0.190876,0.528548,-0.277912,0.054276,-0.231295,-0.064069,-0.163830,-0.504280,-0.847857,-0.014729,0.007225,0.032626,14.440960,-23.513779,-33.960342,,,,,,
1478536461.28,-0.193004,0.528649,-0.279183,-0.040187,-0.268542,-0.113862,-0.165625,-0.504367,-0.847456,-0.034327,-0.023648,0.025374,14.425499,-23.315748,-34.103149,,,,,,
1478536461.29,-0.194881,0.527569,-0.280904,-0.155245,-0.256853,-0.115720,-0.167320,-0.503434,-0.847678,-0.032632,-0.024581,0.025596,14.425499,-23.315748,-34.103149,,,,,,
1478536461.30,-0.196216,0.525543,-0.282800,-0.237863,-0.200446,-0.117865,-0.168650,-0.501682,-0.848453,-0.035101,-0.010647,0.023196,14.425499,-23.315748,-34.103149,,,,,,
1478536461.31,-0.196117,0.522949,-0.285119,-0.288423,-0.060763,-0.146709,-0.168819,-0.499437,-0.849743,-0.021077,0.003206,0.013408,14.241619,-23.135933,-34.302315,,,,,,
1478536461.32,-0.194395,0.520238,-0.287664,-0.294663,0.069151,-0.158803,-0.167616,-0.497086,-0.851358,-0.023470,-0.009460,0.009485,14.241619,-23.135933,-34.302315,,,,,,
1478536461.33,-0.191957,0.517546,-0.290222,-0.287549,0.121109,-0.155898,-0.165795,-0.494749,-0.853074,-0.024604,-0.025606,0.026414,14.292158,-22.884634,-34.449551,,,,,,
1478536461.35,-0.189300,0.515151,-0.292537,-0.251182,0.152141,-0.143633,-0.163750,-0.492667,-0.854673,-0.030723,-0.027277,0.018278,14.370426,-22.755013,-34.502815,,,,,,
1478536461.36,-0.186153,0.512760,-0.294684,-0.265635,0.216225,-0.127753,-0.161277,-0.490584,-0.856339,-0.022744,-0.014451,0.002472,14.370426,-22.755013,-34.502815,,,,,,
1478536461.37,-0.182191,0.509785,-0.296801,-0.328262,0.298620,-0.117783,-0.158147,-0.487990,-0.858403,-0.022502,-0.013246,-0.002300,14.560955,-22.525326,-34.573578,,,,,,
