accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.022735596,0.993789673,-0.092391968,0,-0.008494685,0.011460381,-0.043832169
0.05915,0.004348755,0.979537964,-0.090805054,0.03498,0.001140366,0.013546169,-0.053306898
0.11832,0.022369385,0.995452881,-0.099075317,0.10492,-0.003369964,0.066882361,-0.031769381
0.17749,0.042739868,0.974822998,-0.111694336,0.17487,0.032996832,0.061590394,-0.032390164
0.23664,0.01940918,1.010375977,-0.117523193,0.20984,0.015930497,0.039319177,-0.014562165
0.29581,-0.004394531,1.070236206,-0.110687256,0.27979,0.102613461,0.030731547,-0.042305645
0.35495,-0.002487183,0.986801147,-0.12046814,0.34973,0.408072712,0.074972246,0.015234613
0.41413,0.003036499,0.820846558,-0.090118408,0.41968,0.686375709,-0.050726028,0.532881756
0.47327,0.099319458,1.000457764,-0.390518188,0.45465,0.490321246,0.128481544,0.441474078
0.53244,0.245651245,0.986358643,-0.326782227,0.5246,0.338706154,0.174873011,-0.195539407
0.59162,0.056243896,0.751449585,-0.352615356,0.59455,0.199722967,-0.162391574,-0.142287104
0.65079,0.025222778,0.813308716,-0.382339478,0.62952,0.152145328,-0.130508476,0.050489273
0.70993,0.092575073,0.861740112,-0.362335205,0.6995,-0.070122363,0.108080398,0.115959094
0.76911,0.104156494,0.981079102,-0.420578003,0.73447,-0.185516867,0.133155125,0.049451173
0.82828,0.111419678,1.005325317,-0.421875,0.80442,-0.06614653,0.005945773,-0.069160163
0.88742,0.068435669,0.908843994,-0.46987915,0.87436,0.002639992,-0.287728723,-0.254311378
0.9466,-0.124679565,1.304016113,-0.319122314,0.94431,0.393449028,-0.01663943,0.005019526
1.00577,0.187835693,1.038497925,-0.381851196,0.97928,-0.080497772,0.66869951,0.055382565
1.06491,0.136825562,0.778427124,-0.078109741,1.04923,-0.267769662,0.451091552,0.002854909
1.12409,0.006591797,0.937942505,-0.045822144,1.11917,-0.582694853,-0.266803467,-0.027977573
1.18326,-0.048919678,0.957290649,-0.117919922,1.15415,-0.41970247,-0.139676141,0.028094752
1.2424,0.158813477,0.890670776,-0.073669434,1.22409,-0.348851999,0.841048376,0.27796877
1.30158,0.061462402,0.928146362,-0.087097168,1.29404,-0.599556924,0.549885507,0.022496254
1.36072,0.108047485,0.957275391,-0.085342407,1.36399,-0.511754899,0.417196968,-0.31328495
1.41989,-0.007278442,1.053085327,-0.027389526,1.39896,-0.447901617,0.549879648,-0.391929428
1.47904,0.143096924,0.94543457,-0.151428223,1.46891,-0.279122984,1.056363619,-0.64901795
1.53821,0.193054199,1.004272461,-0.152709961,1.53885,-0.369424918,0.719296375,-0.374127528
