accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,-0.050567627,0.966949463,-0.23500061,0,-0.108038853,0.037002227,-0.027922445
0.059143,-0.066360474,0.961975098,-0.215774536,0.035004,-0.139051097,0.013781592,0.013209279
0.118287,-0.076919556,0.948043823,-0.230697632,0.10495,-0.038269891,-0.061771489,0.000291084
0.177399,-0.080978394,0.958053589,-0.226928711,0.139923,-0.026526949,-0.058554657,0.00259312
0.236542,-0.080886841,0.95602417,-0.242431641,0.2099,-0.069168419,-0.065218418,-0.040696031
0.295685,-0.11390686,0.935379028,-0.242752075,0.279847,-0.194176934,-0.009565009,-0.158437312
0.354828,-0.06578064,0.95300293,-0.205886841,0.31482,-0.262575966,0.011433483,-0.199798867
0.413971,-0.201370239,0.972045898,-0.151153564,0.384796,-0.346558218,0.148959388,-0.146877595
0.473114,0.034362793,1.015472412,-0.027435303,0.454743,-0.4226932,-0.438872436,0.40037804
0.532227,-0.117324829,0.958023071,-0.266204834,0.52472,0.063075373,-0.151919492,0.237147571
0.59137,-0.021011353,1.01725769,-0.214035034,0.559693,-0.229420675,0.313208251,0.280317412
0.650513,0.037826538,0.896286011,-0.214126587,0.629639,-0.094835699,0.679261873,0.236748097
0.709656,0.036392212,0.924942017,-0.224899292,0.699616,-0.026699255,0.457885009,0.230217493
0.768799,0.128860474,0.913986206,-0.262832642,0.734589,-0.110831444,0.394757173,0.185066526
0.827942,0.13092041,0.902816772,-0.291549683,0.804566,-0.20695771,0.151223874,0.048188036
0.887085,0.06803894,0.959350586,-0.222366333,0.874512,-0.304688532,0.164393738,-0.250896406
0.946259,-0.0078125,1.011123657,-0.165115356,0.944489,-0.765923798,0.611017038,-0.253770223
1.005402,0.158279419,1.238952637,-0.163391113,0.979462,-0.724553721,0.683606288,-0.223009648
1.064545,-0.125396729,1.559646606,-0.03553772,1.049408,-1.158651908,0.383163367,-0.199035605
1.123688,-0.059646606,1.133605957,0.590835571,1.084381,-1.153364202,0.870832637,0.022122613
1.182831,-0.19871521,1.089645386,0.115081787,1.154358,-0.05576393,0.295874001,-0.385871269
1.241944,0.02772522,0.977905273,0.196044922,1.224305,-0.371885146,0.096417617,-0.212572187
1.301087,-0.116867065,0.893371582,0.120407104,1.259308,0.051077299,-0.044204213,-0.304891997
1.36023,-0.266799927,0.581787109,0.127716064,1.329255,-0.471101479,0.01828553,-0.661564369
1.419373,-0.009552002,0.571014404,0.060913086,1.399231,-0.222404577,0.152936553,-0.21892063
1.478516,-0.275970459,0.667205811,0.096099854,1.469178,-0.33032705,0.005519668,-0.490040549
1.537629,-0.261169434,0.921127319,0.091156006,1.504151,0.084035516,-0.027899542,-0.248872404
1.596772,-0.181793213,1.145874023,0.035415649,1.574128,0.397307416,0.112083129,-0.009292302
1.655945,-0.114822388,1.254318237,0.089233398,1.644074,0.225105289,0.049372876,-0.351325276
